handle,title,description,price,category,subcategory,location,mainImage,additionalImages
furniture-sofas-couches-1,Modern 3-Seater Sofa,"Beautiful modern 3-seater sofa in excellent condition. Upholstered in premium fabric, perfect for any living room. Comfortable cushions, sturdy frame. No stains or damage. Dimensions: 220cm x 90cm. Pickup available or delivery can be arranged.",1456.00,furniture,sofas-couches,Abu Dhabi,https://placehold.co/800x800/059669/FFFFFF?text=Modern%203-seater%20sofa,
furniture-sofas-couches-2,Leather Sectional Sofa,"Premium leather sectional sofa, well-maintained and in great condition. Genuine leather upholstery, comfortable seating for 5-6 people. Includes corner piece and chaise. Some minor wear on armrests but overall excellent condition. Perfect for large living spaces.",2793.00,furniture,sofas-couches,RAK,https://placehold.co/800x800/4F46E5/FFFFFF?text=Leather%20sectional%20sofa,
furniture-sofas-couches-3,Fabric Corner Sofa,"Spacious fabric corner sofa in excellent condition. Soft, comfortable cushions, neutral color that matches any decor. Great for family rooms. No pets, no smoking. Dimensions: 280cm x 200cm. Ready for immediate pickup.",2434.00,furniture,sofas-couches,RAK,https://placehold.co/800x800/7C3AED/FFFFFF?text=Fabric%20corner%20sofa,
furniture-sofas-couches-4,L-Shaped Sofa,"Modern L-shaped sofa with built-in storage compartments. Contemporary design, perfect for small to medium living rooms. Fabric upholstery in excellent condition. Includes throw pillows. Great space-saving solution.",1540.00,furniture,sofas-couches,Dubai,https://placehold.co/800x800/DC2626/FFFFFF?text=L-shaped%20sofa,
furniture-sofas-couches-5,Reclining Sofa Set,"Reclining sofa set with 3 seats, all with individual reclining mechanisms. Power recliners with USB charging ports. Like new condition, barely used. Includes remote controls. Perfect for home theater or living room.",1061.00,furniture,sofas-couches,Ajman,https://placehold.co/800x800/EA580C/FFFFFF?text=Reclining%20sofa,
furniture-sofas-couches-6,Velvet Sofa,"Luxurious velvet sofa in emerald green color. Premium quality velvet fabric, deep comfortable seating. Modern design with elegant brass legs. Excellent condition, no stains or marks. Adds sophistication to any room.",3485.00,furniture,sofas-couches,Abu Dhabi,https://placehold.co/800x800/059669/FFFFFF?text=Velvet%20sofa,
furniture-sofas-couches-7,Chesterfield Sofa,"Classic Chesterfield sofa in vintage style. Button-tufted back, rolled arms, genuine leather. Timeless design, well-maintained. Some patina adds character. Perfect for traditional or eclectic interiors. Dimensions: 200cm x 95cm.",2074.00,furniture,sofas-couches,Dubai,https://placehold.co/800x800/4F46E5/FFFFFF?text=Chesterfield%20sofa,
furniture-sofas-couches-8,Sleeper Sofa,"Convertible sleeper sofa, perfect for guests. Pulls out into full-size bed. Comfortable seating and sleeping. Neutral beige fabric, easy to clean. Includes mattress. Great for studio apartments or guest rooms.",2120.00,furniture,sofas-couches,Sharjah,https://placehold.co/800x800/7C3AED/FFFFFF?text=Sleeper%20sofa,
furniture-sofas-couches-9,Modular Sofa,"Modular sofa with customizable configuration. Can be arranged in multiple ways. Includes 3 base pieces and corner connector. Premium fabric, excellent condition. Perfect for flexible living spaces. All pieces included.",2562.00,furniture,sofas-couches,Ajman,https://placehold.co/800x800/DC2626/FFFFFF?text=Modular%20sofa,
furniture-sofas-couches-10,Contemporary Sofa,"Contemporary design sofa, like new condition. Modern minimalist style with clean lines. High-quality fabric upholstery, comfortable cushions. Neutral gray color. Barely used, still has original tags. Perfect for modern homes.",2018.00,furniture,sofas-couches,Sharjah,https://placehold.co/800x800/EA580C/FFFFFF?text=Contemporary%20sofa,
furniture-armchairs-1,Leather Armchair,"Premium leather armchair in excellent condition. Genuine leather upholstery, comfortable deep seating. Sturdy wooden frame, well-maintained. Perfect for living room or study. No scratches or damage. Dimensions: 85cm x 90cm x 100cm.",940.00,furniture,armchairs,Abu Dhabi,https://placehold.co/800x800/059669/FFFFFF?text=Leather%20armchair,
furniture-armchairs-2,Recliner Armchair,"Reclining armchair with built-in footrest. Power recliner mechanism, smooth operation. Premium fabric upholstery, excellent condition. Includes remote control. Perfect for relaxation. USB charging port included.",1181.00,furniture,armchairs,RAK,https://placehold.co/800x800/4F46E5/FFFFFF?text=Recliner%20armchair,
furniture-armchairs-3,Wingback Armchair,"Classic wingback armchair in traditional style. High backrest for excellent support. Premium fabric upholstery, well-maintained. Elegant design, perfect for reading or relaxing. Excellent condition, no damage.",717.00,furniture,armchairs,RAK,https://placehold.co/800x800/7C3AED/FFFFFF?text=Wingback%20armchair,
furniture-armchairs-4,Modern Armchair,"Modern design armchair with sleek lines. Contemporary style, neutral color. High-quality fabric, comfortable cushions. Perfect for modern interiors. Like new condition, barely used.",430.00,furniture,armchairs,Abu Dhabi,https://placehold.co/800x800/DC2626/FFFFFF?text=Modern%20armchair,
furniture-armchairs-5,Vintage Armchair,"Vintage style armchair with character. Antique-inspired design, well-preserved. Some patina adds charm. Solid construction, comfortable seating. Perfect for eclectic or traditional decor.",446.00,furniture,armchairs,Dubai,https://placehold.co/800x800/EA580C/FFFFFF?text=Vintage%20armchair,
furniture-armchairs-6,Reading Chair,"Perfect reading chair with matching ottoman. Ergonomic design for long reading sessions. Premium fabric, excellent condition. Includes throw pillow. Great for home library or living room.",675.00,furniture,armchairs,Sharjah,https://placehold.co/800x800/059669/FFFFFF?text=Reading%20chair,
furniture-armchairs-7,Swivel Armchair,"Swivel armchair perfect for office or living room. 360-degree rotation, smooth mechanism. Modern design, comfortable seating. Adjustable height. Excellent condition, fully functional.",800.00,furniture,armchairs,Ajman,https://placehold.co/800x800/4F46E5/FFFFFF?text=Swivel%20armchair,
furniture-armchairs-8,Accent Chair,"Stylish accent chair to complement any room. Unique design, eye-catching style. High-quality materials, excellent condition. Perfect for adding character to your space. Like new.",394.00,furniture,armchairs,Ajman,https://placehold.co/800x800/7C3AED/FFFFFF?text=Accent%20chair,
furniture-armchairs-9,Rocking Chair,"Traditional rocking chair in excellent condition. Smooth rocking motion, comfortable seating. Solid wood construction, well-maintained. Perfect for nursery or living room. No damage.",205.00,furniture,armchairs,RAK,https://placehold.co/800x800/DC2626/FFFFFF?text=Rocking%20chair,
furniture-armchairs-10,Executive Armchair,"Executive office armchair, premium quality. Ergonomic design, excellent support. High-quality leather, professional appearance. Adjustable features. Perfect for home office. Excellent condition.",832.00,furniture,armchairs,Dubai,https://placehold.co/800x800/EA580C/FFFFFF?text=Executive%20armchair,
furniture-recliners-1,Electric Recliner,Electric recliner with remote control in very good condition. Minor wear consistent with normal use. Fully functional.,1057.00,furniture,recliners,Sharjah,https://placehold.co/800x800/059669/FFFFFF?text=Electric%20recliner,
furniture-recliners-2,Manual Recliner,"Manual recliner in excellent condition in excellent condition. Well-maintained, no damage or stains. Ready for immediate use.",537.00,furniture,recliners,Sharjah,https://placehold.co/800x800/4F46E5/FFFFFF?text=Manual%20recliner,
furniture-recliners-3,Massage Recliner,"Massage recliner with heat function in great condition. Clean, well-cared for. No pets, no smoking household.",613.00,furniture,recliners,RAK,https://placehold.co/800x800/7C3AED/FFFFFF?text=Massage%20recliner,
furniture-recliners-4,Leather Recliner,Premium leather recliner in very good condition. Minor wear consistent with normal use. Fully functional.,1257.00,furniture,recliners,Ajman,https://placehold.co/800x800/DC2626/FFFFFF?text=Leather%20recliner,
furniture-recliners-5,Power Recliner,"Power recliner with USB charging in great condition. Clean, well-cared for. No pets, no smoking household.",1573.00,furniture,recliners,Dubai,https://placehold.co/800x800/EA580C/FFFFFF?text=Power%20recliner,
furniture-recliners-6,Wall-Hugger Recliner,"Space-saving wall-hugger recliner in excellent condition. Well-maintained, no damage or stains. Ready for immediate use.",744.00,furniture,recliners,RAK,https://placehold.co/800x800/059669/FFFFFF?text=Wall-hugger%20recliner,
furniture-recliners-7,Zero Gravity Recliner,"Zero gravity recliner for ultimate comfort. High-quality materials, sturdy construction. Perfect condition, barely used.",1142.00,furniture,recliners,Abu Dhabi,https://placehold.co/800x800/4F46E5/FFFFFF?text=Zero%20gravity%20recliner,
furniture-recliners-8,Rocking Recliner,"Rocking recliner chair. High-quality materials, sturdy construction. Perfect condition, barely used.",1530.00,furniture,recliners,Abu Dhabi,https://placehold.co/800x800/7C3AED/FFFFFF?text=Rocking%20recliner,
furniture-recliners-9,Lift Chair Recliner,"Lift chair recliner for elderly. High-quality materials, sturdy construction. Perfect condition, barely used.",1544.00,furniture,recliners,Dubai,https://placehold.co/800x800/DC2626/FFFFFF?text=Lift%20chair%20recliner,
furniture-recliners-10,Theater Recliner,"Theater-style recliner in great condition. Clean, well-cared for. No pets, no smoking household.",2115.00,furniture,recliners,Dubai,https://placehold.co/800x800/EA580C/FFFFFF?text=Theater%20recliner,
furniture-sofa-beds-1,Convertible Sofa Bed,"Convertible sofa that transforms into bed in excellent condition. Well-maintained, no damage or stains. Ready for immediate use.",1246.00,furniture,sofa-beds,Dubai,https://placehold.co/800x800/059669/FFFFFF?text=Convertible%20sofa%20bed,
furniture-sofa-beds-2,Pull-Out Sofa Bed,"Pull-out sofa bed mechanism in great condition. Clean, well-cared for. No pets, no smoking household.",2717.00,furniture,sofa-beds,Sharjah,https://placehold.co/800x800/4F46E5/FFFFFF?text=Pull-out%20sofa%20bed,
furniture-sofa-beds-3,Futon Sofa Bed,"Futon-style sofa bed in great condition. Clean, well-cared for. No pets, no smoking household.",1424.00,furniture,sofa-beds,Ajman,https://placehold.co/800x800/7C3AED/FFFFFF?text=Futon%20sofa%20bed,
furniture-sofa-beds-4,Daybed Sofa,"Daybed that works as sofa. High-quality materials, sturdy construction. Perfect condition, barely used.",2283.00,furniture,sofa-beds,Sharjah,https://placehold.co/800x800/DC2626/FFFFFF?text=Daybed%20sofa,
furniture-sofa-beds-5,Trundle Sofa Bed,"Trundle bed with sofa function. High-quality materials, sturdy construction. Perfect condition, barely used.",1628.00,furniture,sofa-beds,Dubai,https://placehold.co/800x800/EA580C/FFFFFF?text=Trundle%20sofa%20bed,
furniture-sofa-beds-6,Sectional Sofa Bed,"Sectional with sleeper function. Excellent quality, like new. Includes all original parts and accessories.",1195.00,furniture,sofa-beds,Ajman,https://placehold.co/800x800/059669/FFFFFF?text=Sectional%20sofa%20bed,
furniture-sofa-beds-7,Modern Sofa Bed,Modern design sofa bed in very good condition. Minor wear consistent with normal use. Fully functional.,1865.00,furniture,sofa-beds,Dubai,https://placehold.co/800x800/4F46E5/FFFFFF?text=Modern%20sofa%20bed,
furniture-sofa-beds-8,Compact Sofa Bed,"Space-saving compact sofa bed in great condition. Clean, well-cared for. No pets, no smoking household.",2417.00,furniture,sofa-beds,RAK,https://placehold.co/800x800/7C3AED/FFFFFF?text=Compact%20sofa%20bed,
